編號,詞語,義項,翻譯,TL,POJ,語句編號,語句,音檔,語句翻譯,翻譯TL,翻譯POJ
282,개,1700066,粒,lia̍p,lia̍p,17000661,귤 다섯 개,,五粒柑仔,gōo lia̍p kam-á,gō͘ lia̍p kam-á
286,개나리,1700067,連翹,liân-khiâu,liân-khiâu,17000671,개나리가 흐드러지게 피다,,連翹開花開甲真豔旺,liân-khiâu khui-hue khui kah tsin iām-ōng,liân-khiâu khui-hoe khui kah chin iām-ōng
291,개미,1700068,狗蟻,káu-hiā,káu-hiā,17000681,단 음식을 그냥 두니까 당연히 개미가 꼬이지.,,你甜路按呢四界掖，無怪會生狗蟻。,"Lí tinn-lōo án-ne sì-kè iā, bô-kuài ē senn káu-hiā.","Lí tiⁿ-lō͘ án-ne sì-kè iā, bô-koài ē seⁿ káu-hiā."
296,개월,1700069,個月,kò gue̍h,kò goe̍h,17000691,이 개월 정도,,成兩個月,tsiânn nn̄g kò gue̍h,chiâⁿ nn̄g kò goe̍h
301,개인,1700070,個人,kò-jîn,kò-jîn,17000701,개인의 자유,,個人的自由,kò-jîn ê tsū-iû,kò-jîn ê chū-iû
306,거기,1700071,遐,hia,hia,17000711,거기에서 조금만 기다려 주세요.,,踮遐等我一下。,Tiàm hia tán guá--tsi̍t-ē.,Tiàm hia tán góa--chi̍t-ē.
306,거기,1700071,遐,hia,hia,17000712,-가: 저 내일 부산에 가요. -나: 거기는 무슨 일로 가세요?,,-A: 我明仔欲去釜山。 -B:啊你是啥物代誌欲去遐？,-A: Guá bîng-á beh khì Hú-san.  -B: Ah lí sī siánn-mi̍h tāi-tsì beh khì hia?,-A: Góa bêng-á beh khì Hú-san.  -B: Ah lí sī siáⁿ-mi̍h tāi-chì beh khì hia?
316,거리,1700073,路；街,lōo；ke,lō͘；ke,17000731,거리를 우리는 차가 없는 것을 확인하고 거리를 가로질러 건너갔다.건너갔다,,阮看無車才過路。,Guán khuànn bô tshia tsiah kuè-lōo.,Goán khòaⁿ bô chhia chiah kòe-lō͘.
321,거미,1700074,蜘蛛,ti-tu,ti-tu,17000741,거미 한 마리가 창문 밖에 거미집을 하나 쳐 놓은 상태이다.,,蜘蛛佇窗仔門外口經一个網。,Ti-tu tī thang-á-mn̂g guā-kháu kenn tsi̍t ê bāng.,Ti-tu tī thang-á-mn̂g gōa-kháu keⁿ chi̍t ê bāng.
326,거스름돈,1700075,找,tsāu,chāu,17000751,거스름돈을 잘못 주신 것 같은데요.,,你敢若找毋著矣。,Lí kánn-ná tsāu m̄-tio̍h--ah.,Lí káⁿ-ná chāu m̄-tio̍h--ah.
331,거실,1700076,客廳,kheh-thiann,kheh-thiaⁿ,17000761,거실에는 소파와 탁자가 놓여 있었다.,,客廳有囥膨椅佮桌仔。,Kheh-thiann ū khǹg phòng-í kap toh-á.,Kheh-thiaⁿ ū khǹg phòng-í kap toh-á.
336,거울,1700077,鏡,kiànn,kiàⁿ,17000771,여자는 거울을 보면서 화장을 했다.,,彼个查某的那照鏡那畫妝。,Hit ê tsa-bóo--ê ná tsiò-kiànn ná uē-tsong.,Hit ê cha-bó͘--ê ná chiò-kiàⁿ ná ōe-chong.
341,거의,1700078,差不多攏,tsha-put-to lóng,chha-put-to lóng,17000781,거의가 도착하다.,,差不多攏到矣。,Tsha-put-to lóng-kàu--ah.,Chha-put-to lóng-kàu--ah.
341,거의,1700079,強欲,kiōng-beh,kiōng-beh,17000791,거의 비슷하다.,,強欲相仝,kiōng-beh sio-kāng,kiōng-beh sio-kāng
346,거짓말,1700080,白賊,pe̍h-tsha̍t,pe̍h-chha̍t,17000801,우리 아이가 나한테 학교 간다고 거짓말을 하고 오락실에 갔대요.,,阮囝共我講白賊欲去學校，煞走去拍電動。,"Guán kiánn kā guá kóng-pe̍h-tsha̍t beh khì ha̍k-hāu, suah tsáu khì phah tiān-tōng.","Goán kiáⁿ kā góa kóng-pe̍h-chha̍t beh khì ha̍k-hāu, soah cháu khì phah tiān-tōng."
351,걱정,1700081,驚,kiann,kiaⁿ,17000811,그는 운전에 미숙해서 차를 몰 때마다 혹시 사고라도 낼까 봐 걱정을 한다.,,伊無啥會曉駛車，所以逐擺駛車攏驚會出代誌。,"I bô siánn ē-hiáu sái-tshia, sóo-í ta̍k pái sái-tshia lóng kiann ē tshut-tāi-tsì.","I bô siáⁿ ē-hiáu sái-chhia, só͘-í ta̍k pái sái-chhia lóng kiaⁿ ē chhut-tāi-chì."
356,걱정하다,1700082,煩惱,huân-ló,hoân-ló,17000821,그의 부모님은 해외에 있는 아들의 건강을 항상 걱정하셨다.,,爸母咧煩惱出國的後生，身體敢有顧予好。,"Pē-bú teh huân-ló tshut-kok ê hāu-senn, sin-thé kám ū kòo-hōo-hó.","Pē-bú teh hoân-ló chhut-kok ê hāu-seⁿ, sin-thé kám ū kò͘-hō͘-hó."
361,건강,1700083,健康,kiān-khong,kiān-khong,17000831,의사는 일 년에 한 번씩은 꼭 건강 검진을 받으라고 했다.,,醫師共我交代一年至少愛做一擺健康檢查。,I-su kā guá kau-tài tsi̍t nî tsì-tsió ài tsò tsi̍t pái kiān-khong-kiám-tsa.,I-su kā góa kau-tài chi̍t nî chì-chió ài chò chi̍t pái kiān-khong-kiám-cha.
366,건강하시다,1700084,健康,kiān-khong,kiān-khong,17000841,우리 할머니는 운동을 꾸준히 하셔서 매우 건강하시다.,,阮阿嗎攏有咧運動，身體蓋健康。,"Guán a-má lóng ū teh ūn-tōng, sin-thé kài kiān-khong.","Goán a-má lóng ū teh ūn-tōng, sin-thé kài kiān-khong."
371,건너가다,1700085,過,kuè,kòe,17000851,철길을 건너가다,,過鐵枝路,kuè thih-ki-lōo,kòe thih-ki-lō͘
376,건넜다,1700086,過,kuè,kòe,17000861,신호등이 파란색으로 바뀌자 사람들은 차도를 건넜다.,,轉青燈，逐家來過大路。,"Tsuán tshenn-ting, ta̍k-ke lâi kuè tuā-lōo.","Choán chheⁿ-teng, ta̍k-ke lâi kòe tōa-lō͘."
381,건너편,1700087,對面,tuì-bīn,tùi-bīn,17000871,이 강은 다리를 건너야만 건너편에 갈 수 있다.,,這條河一定愛過橋才行會到對面。,Tsit tiâu hô it-tīng ài kuè kiô tsiah kiânn ē kàu tuì-bīn.,Chit tiâu hô it-tēng ài kòe kiô chiah kiâⁿ ē kàu tùi-bīn.
386,건물,1700088,大樓,tuā-lâu,tōa-lâu,17000881,건물 앞 주차장에는 그 건물에서 일하는 사람들만 주차할 수 있다.,,大樓頭前的停車場，干焦佇大樓上班的人會使停。,"Tuā-lâu thâu-tsîng ê thîng-tshia-tiûnn, kan-na tī tuā-lâu siōng-pan ê lâng ē-sái thîng.","Tōa-lâu thâu-chêng ê thêng-chhia-tiûⁿ, kan-na tī tōa-lâu siōng-pan ê lâng ē-sái thêng."
391,건배,1700089,敬一杯,kìng tsi̍t pue,kèng chi̍t poe,17000891,우리 건배라도 할까?,,咱欲來敬一杯無？,Lán beh lâi kìng tsi̍t pue--bô?,Lán beh lâi kèng chi̍t poe--bô?
396,걷다,1700090,行路,kiânn-lōo,kiâⁿ-lō͘,17000901,요즘은 살을 빼려고 걸어서 다닙니다.,,最近我攏行路上班減肥。,Tsuè-kīn guá lóng kiânn-lōo siōng-pan kiám-puî.,Chòe-kīn góa lóng kiâⁿ-lō͘ siōng-pan kiám-pûi.
401,걸다,1700091,掛,kuà,kuà,17000911,그림을 벽에 걸다,,共畫掛佇壁頂,kā uē kuà tī piah-tíng,kā ōe kòa tī piah-téng
401,걸다,1700091,掛,kuà,kuà,17000912,귀고리/목걸이를 걸다,,掛耳鉤/袚鍊,kuà hīnn-kau/phua̍h-liān,kòa hīⁿ-kau/phoa̍h-liān
401,걸다,1700091,披/晾,phi/nê,phi/nê,17000913,빨래 걸다,,披/晾衫,phi/nê sann,phi/nê saⁿ
