編號,動詞變化,詞語,語源,義項,詞類,等級,標籤,翻譯,TL,POJ,分類,近義詞,反義詞,相關詞,附註,,
1021,,그들,,1700227,,B,,,,,,,,,,,
1021,,그들,,1700228,,B,,,,,,,,,,,
1026,,그때,,1700229,,B,,,,,,,,,,,
1031,,그래,,1700230,,B,,,,,,,,,,,
1036,,그래서,,1700231,,B,,,,,,,,,,,
1041,,그램,,1700232,,B,,,,,,,,,,,
1046,,그러나,,1700233,,B,,,,,,,,,,,
1051,,그러니까,,1700234,,B,,,,,,,,,,,
1051,,그러니까,,1700235,,B,,,,,,,,,,,
1056,,그러면,,1700236,,B,,,,,,,,,,,
1061,,그런,,1700237,,B,,,,,,,,,,,
1066,,그런데,,1700238,,B,,,,,,,,,,,
1066,,그런데,,1700239,,B,,,,,,,,,,,
1071,,그럼,,1700240,,B,,,,,,,,,,,
1076,ㅂ불규칙,그럽다,,1700241,,B,,,,,,,,,,,
1081,,그렇게,,1700242,,B,,,,,,,,,,,
1086,,그렇구나,,1700243,,B,,,,,,,,,,,
1091,ㅎ불규칙,그렇다,,1700244,,B,,,,,,,,,,,
1091,ㅎ불규칙,그렇다,,1700245,,B,,,,,,,,,,,
1096,규칙,그렇습니다,,1700246,,B,,,,,,,,,,,
1101,,그렇지만,,1700247,,B,,,,,,,,,,,
1101,,그렇지만,,1700248,,B,,,,,,,,,,,
1106,,그릇,,1700249,,B,,,,,,,,,,,
1106,,그릇,,1700250,,B,,,,,,,,,,,
1111,,그리,,1700251,,B,,,,,,,,,,,
1116,,그리고,,1700252,,B,,,,,,,,,,,
1121,규칙,그리다,,1700253,,B,,畫,uē,ōe,,,,,,,
1126,,그림,,1700254,,B,,圖,tôo,tô͘,,,,,,,
1131,,그만,,1700255,,B,,,,,,,,,,,
1136,,그분,,1700256,,B,,,,,,,,,,,
1141,,그저께,,1700257,,B,,昨日,tso̍h--ji̍t,cho̍h--ji̍t,,,,,,,
1146,,그중,,1700258,,I,,,,,,,,,,,
1151,,그쪽,,1700259,,B,,,,,,,,,,,
1156,규칙,그치다,,1700260,,B,,,,,,,,,,,
1161,,극장,,1700261,,B,,,,,,,,,,,
1161,,극장,,1700262,,B,,,,,,,,,,,
1166,,근처,,1700263,,B,,附近,hù-kīn,hù-kīn,,,,,,,
1171,,글,,1700264,,B,,字,jī,jī,,,,,,,
1171,,글,,1700265,,B,,,,,,,,,,,
1176,,글쎄요,,1700266,,B,,,,,,,,,,,
1181,,금방,,1700267,,B,,,,,,,,,,,
1186,,금연,,1700268,,I,,禁止食薰,kìm-tsí tsia̍h-hun,kìm-chí chia̍h-hun,,,,,,,
1191,,금요일,,1700269,,B,,拜五,pài-gōo,pài-gō͘,,,,,,,
1196,,금주,,1700270,,B,,,,,,,,,,,
1201,,급,,1700271,,B,,年,nî,nî,,,,,,,
1201,,급,,1700272,,B,,,,,,,,,,,
1206,여불규칙,급하다,8656,1700273,,B,,緊,kín,kín,,,,,,,
1211,,기간,,1700274,,B,,學期,ha̍k-kî,ha̍k-kî,,,,,,,
1216,규칙,기다리다,,1700275,,B,,等,tíng,téng,,,,,,,
1216,규칙,기다리다,,1700276,,B,,,,,,,,,,,
1216,규칙,기다리다,,1700277,,B,,,,,,,,,,,
1221,,기러기,,1700278,,B,,,,,,,,,,,
1226,르불규칙,기르다,,1700279,,B,,種,tsíng,chéng,,,,,,,
1231,,기름,,1700280,,B,,汽油,khì-iû,khì-iû,,,,,,,
1236,,기분,,1700281,,B,,心情,sim-tsîng,sim-chêng,,,,,,,
1236,,기분,,1700282,,B,,,,,,,,,,,
1241,여불규칙,기뻐하다,8656,1700283,,B,,歡喜,huann-hí,hoaⁿ-hí,,,,,,,
1246,으탈락,기쁘다,,1700284,,B,,歡喜,huann-hí,hoaⁿ-hí,,,,,,,
1246,으탈락,기쁘다,,1700285,,B,,,,,,,,,,,
1251,,기사,,1700286,,B,,,,,,,,,,,
1256,,기숙사,,1700287,,B,,宿舍,sok-sià,sok-sià,,,,,,,
1261,여불규칙,기억하다,8656,1700288,,B,,會記得,ē-kì--tit,ē-kì--tit,,,,,,,
1266,,기온,,1700289,,B,,氣溫,khì-un,khì-un,,,,,,,
1271,,기자,,1700290,,B,,記者,kì-tsiá,kì-chiá,,,,,,,
1276,,기차,JPN110,1700291,名,B,,火車,hué-tshia,hóe-chhia,20交通,,,,1276=/6796,,
1281,,기침,,1700292,,B,,,,,,,,,,,
1281,,기침,,1700293,,B,,,,,,,,,,,
1286,,기타,,1700294,,B,,,,,,,,,,,
1291,규칙,긴장되다,,1700295,,B,,,,,,,,,,,
1296,,길,,1700296,,B,,,,,,,,,,,
1296,,길,,1700297,,B,,,,,,,,,,,
1301,ㄹ탈락,길다,,1700298,,B,,,,,,,,,,,
1301,ㄹ탈락,길다,,1700299,,B,,,,,,,,,,,
1306,,김,,1700300,,B,,,,,,,,,,,
1311,,김밥,,1700301,,B,,,,,,,,,,,
1316,,김치,,1700302,,B,,,,,,,,,,,
1316,,김치,,1700303,,B,,,,,,,,,,,
1321,,김치찌개,,1700304,,B,,,,,,,,,,,
1326,,김포공항,,1700305,,B,,,,,,,,,,,
1331,,까만색,,1700306,,B,,,,,,,,,,,
1336,ㅎ불규칙,까맣다,,1700307,,B,,,,,22顏色,,8681,,,,
1341,,까지,,1700308,,B,,,,,,,,,,,
1346,,까치,,1700309,,B,,,,,,,,,,,
1351,규칙,깎다,,1700310,,B,,,,,,,,,,,
1356,,깜짝,,1700311,,B,,,,,,,,,,,
1361,여불규칙,깨끗하다,8656,1700312,,B,,,,,,,,,,,
1366,규칙,깨다,,1700313,,B,,,,,,,,,,,
1371,규칙,깨지다,,1700314,,B,,,,,,,,,,,
1376,규칙,꺼내다,,1700315,,B,,,,,,,,,,,
1381,,껌,,1700316,,B,,,,,,,,,,,
1381,,껌,,1700317,,B,,,,,,,,,,,
1386,,께,,1700318,,B,,,,,,,,,,,
